RegionName,City,State,Current_Price,Affordability_Ratio_2023,Clasificacion_IA,Confianza,Datos_Clave,Latitude,Longitude
75482,Sulphur Springs,TX,247887.0153176559,4.222251672528757,Regular - Estable,100.0,Growth24: -4.3% | Vacancy: 4.6%,33.1345,-95.5922
75662,Kilgore,TX,209372.09450162217,2.978691108125961,Barata - Alto Potencial,98.98,Growth24: 2.4% | Vacancy: 5.1%,32.3836,-94.8653
78114,Floresville,TX,363216.02016694256,4.294243876857939,Regular - Estable,99.94,Growth24: -1.3% | Vacancy: 2.8%,29.1693,-98.1936
75159,Seagoville,TX,286334.7984037951,4.040034850938446,Regular - Estable,100.0,Growth24: -1.6% | Vacancy: 2.3%,32.6525,-96.558
77503,Pasadena,TX,213887.1783646489,3.2023073147216308,Regular - Estable,95.95,Growth24: 2.0% | Vacancy: 3.5%,29.6877,-95.1572
76708,Waco,TX,227622.2479789392,3.3870886712249115,Regular - Estable,100.0,Growth24: 0.9% | Vacancy: 4.0%,31.5765,-97.1786
75205,Highland Park,TX,1955780.3410742409,9.06553348607421,Cara - Sobrevalorada,98.5,Growth24: 7.2% | Vacancy: 4.6%,32.826,-96.7843
76105,Fort Worth,TX,178867.0120601987,3.7898477573134457,Regular - Estable,98.75,Growth24: -0.3% | Vacancy: 4.1%,32.7233,-97.269
77545,Fresno,TX,285344.42736161995,3.1667597885681027,Regular - Estable,100.0,Growth24: -1.1% | Vacancy: 2.5%,29.5293,-95.4626
76710,Waco,TX,245588.108468924,4.63416506142577,Regular - Estable,99.5,Growth24: -0.7% | Vacancy: 6.7%,31.535,-97.1899
77071,Houston,TX,244767.72886425696,4.334641749404878,Regular - Estable,99.61,Growth24: 1.3% | Vacancy: 3.6%,29.6518,-95.5176
76201,Denton,TX,281661.5004720784,7.402453926204323,Cara - Sobrevalorada,93.75,Growth24: -0.1% | Vacancy: 4.9%,33.2289,-97.1314
78411,Corpus Christi,TX,192939.7405976254,3.25868876579762,Regular - Estable,100.0,Growth24: -1.0% | Vacancy: 5.1%,27.7311,-97.3877
78259,San Antonio,TX,404657.7971777301,3.7274740994581865,Regular - Estable,99.96,Growth24: -0.6% | Vacancy: 1.9%,29.6283,-98.4445
76009,Alvarado,TX,322427.9901270475,4.25101922341503,Regular - Estable,100.0,Growth24: 0.9% | Vacancy: 5.4%,32.4395,-97.213
75146,Lancaster,TX,290575.9700952048,4.1789538787574845,Regular - Estable,100.0,Growth24: -0.6% | Vacancy: 2.5%,32.5914,-96.7728
77802,Bryan,TX,277656.47428771754,3.793685567978254,Barata - Alto Potencial,99.88,Growth24: 5.3% | Vacancy: 3.7%,30.6582,-96.3351
77523,Baytown,TX,369260.547653663,2.993302693635865,Regular - Estable,99.96,Growth24: 0.0% | Vacancy: 2.2%,29.77,-94.8608
77504,Pasadena,TX,266957.12069617707,4.8606350496669695,Regular - Estable,96.48,Growth24: 2.0% | Vacancy: 3.9%,29.6501,-95.1885
76048,Granbury,TX,318793.2872071092,4.872210106055526,Regular - Estable,100.0,Growth24: -1.1% | Vacancy: 8.2%,32.425,-97.7742
76148,Watauga,TX,273526.2926975872,3.037255039809183,Regular - Estable,100.0,Growth24: 0.6% | Vacancy: 1.3%,32.8621,-97.2508
78705,Austin,TX,349690.52030638675,13.100699188044889,Cara - Sobrevalorada,91.01,Growth24: -8.0% | Vacancy: 4.3%,30.2896,-97.7396
75160,Terrell,TX,265576.37613845494,3.760743837608032,Regular - Estable,100.0,Growth24: 0.0% | Vacancy: 1.7%,32.7515,-96.2831
79603,Abilene,TX,132545.57464935616,2.3137635246818498,Barata - Alto Potencial,98.82,Growth24: 5.9% | Vacancy: 4.7%,32.4679,-99.7619
77578,Manvel,TX,444294.346560746,3.301257378360586,Regular - Estable,99.92,Growth24: -0.1% | Vacancy: 2.5%,29.4694,-95.3503
75020,Denison,TX,233584.4009313821,3.509155273927992,Regular - Estable,99.98,Growth24: -1.2% | Vacancy: 4.6%,33.745,-96.5496
78702,Austin,TX,591140.7903295736,6.984179686555152,Regular - Estable,94.96,Growth24: -9.4% | Vacancy: 4.8%,30.2638,-97.7166
77062,Houston,TX,318309.5091539505,2.920492624971919,Barata - Alto Potencial,97.93,Growth24: 2.4% | Vacancy: 1.9%,29.5721,-95.1303
77505,Pasadena,TX,316345.3017486696,3.2763681835466443,Regular - Estable,99.42,Growth24: 0.8% | Vacancy: 2.0%,29.6518,-95.1464
